Country Code,EN.ATM.CO2E.PC,NY.GDP.PCAP.CD,SI.POV.GINI,EP.PMP.SGAS.CD,AG.LND.PRCP.MM,EN.CLC.MDAT.ZS,AG.LND.EL5M.ZS,EN.POP.EL5M.ZS,ER.PTD.TOTL.ZS,AG.LND.ARBL.HA.PC,EN.POP.DNST,SP.DYN.LE00.IN,SE.ADT.LITR.ZS,SP.POP.GROW
BEN,0.579494767,789.4404107,43.44,1.03,1039,0.858274799,0.995495438,11.85144946,22.25,0.26247454,96.41981199,59.72070732,38.44713974,2.763534181
BFA,0.179132409,649.7304837,35.3,1.4,748,1.250036827,#N/A,#N/A,15.47,0.341180931,68.1521674,58.93129268,37.74670029,2.915614034
BGD,0.437583523,1358.779752,32.13,1.3,2666,4.584694259,9.636463045,8.916143359,3.41,0.048110075,1251.836521,72.00119512,61.49383163,1.080165239
BGR,5.445648555,7350.795801,36.01,1.49,608,0.00855316,0.204312854,0.735205043,31.46,0.482562281,65.65790346,74.46585366,98.38858032,-0.701382098
BHR,24.29499601,22354.16707,#N/A,0.27,83,#N/A,33.97279383,34.28165324,4.41,0.001197249,1848.470817,76.81909756,95.71726227,3.812796793
BHS,8.243070724,23124.38655,#N/A,1.05,1292,#N/A,52.90280518,20.28497257,0.51,0.020933147,39.08411588,75.39682927,#N/A,1.129473367
BIH,6.076744543,4708.718261,33.83,1.51,1028,0.493228499,0.128200576,0.111713853,1.28,0.283510778,68.6878125,76.58858537,98.48576355,-0.54290805
BLR,6.736652251,4989.254611,27.18,1.06,618,0.021958552,0,0,8.57,0.598447772,46.8538761,73.62439024,99.72203827,0.184284342
BLZ,1.502253175,4810.565902,53.26,1.37,1705,0.806085589,6.053948409,20.53200455,18.55,0.22178371,16.0874178,70.19236585,82.77681732,2.111220431
BMU,5.585037153,85748.06541,#N/A,#N/A,#N/A,#N/A,11.88370384,11.86426709,5.07,0.004605536,1306.62,81.01219512,#N/A,0.147160267
BOL,1.894451045,3104.956089,48.4,0.7,1146,1.297429164,#N/A,#N/A,24.83,0.423445623,10.05066187,68.73960976,95.141922,1.510046906
BRA,2.488417184,8649.948492,51.48,1.27,1761,0.482451028,0.607906215,2.558210374,20.37,0.391830823,24.84438703,74.67587805,92.58680725,0.817555711
BRB,5.127146392,16096.89259,#N/A,1.81,1422,#N/A,0.715679583,0.705708771,0,0.038816451,662.7813953,75.65843902,99.26808167,0.273711418
BRN,19.18840026,26938.50338,#N/A,0.41,2722,#N/A,0.381050512,1.609028467,29.68,0.012144648,80.3028463,79.04082927,96.65653229,1.345029067
BTN,1.155283733,2804.000223,38.81,1.04,2200,0.013501103,#N/A,#N/A,47.3,0.129049209,20.92937534,69.83285366,63.90681839,1.309546955
BWA,2.548026856,6788.042745,60.46,1.06,416,0.740418784,#N/A,#N/A,29.15,0.183991962,3.970603286,64.48741463,88.22441101,1.841666401
CAF,0.06601109,382.2131743,56.24,1.69,1343,0.182498508,#N/A,#N/A,18.09,0.398636486,7.375230344,51.41912195,36.75260925,1.06165489
CAN,13.53231332,42157.92799,33.68,1.17,537,0.010743238,1.738276447,2.221496304,6.24,1.294572076,3.990365107,82.13763415,#N/A,1.213891076
CHE,4.987795181,78812.65069,31.64,1.74,1537,0.003887884,0,0,9.93,0.048872531,211.866029,83.19756098,#N/A,1.077221168
CHI,#N/A,73569.64496,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.025587688,866.0052632,80.75168293,#N/A,0.477005099
CHL,4.762716184,13792.92605,50.45,1.52,1522,0.260470805,0.505208634,0.367832974,6.85,0.073192619,24.08740175,81.78756098,96.62754822,0.824579726
CHN,7.550916485,8123.180873,42.16,1.17,645,7.950971475,1.165879632,6.553332482,15.61,0.077477332,146.850662,75.98634146,96.35745239,0.541478512
CIV,0.409163678,1526.197175,43.18,1.42,1348,0.000757404,0.160747994,3.764942457,14.93,0.128709554,74.51546855,51.9197561,43.26531982,2.510353568
CMR,0.314618381,1032.648722,46.54,1.24,1604,0.072372205,0.036655692,0.456646277,10.65,0.278778182,49.58471156,55.93439024,74.98558044,2.613585149
COD,0.038975612,444.5053168,42.1,1.68,1543,0.017890962,0.021736792,0.041278628,12.07,0.096306627,34.73066452,59.02390244,77.22167206,3.278533569
COG,0.522490773,1528.24483,48.94,1.13,1646,0.262896437,0.012044516,0.480087173,31.81,0.112910818,15.00972474,62.86765854,79.31117249,2.57235739
COL,1.893103161,5805.605335,53.5,1.08,3240,0.657133754,0.584928396,1.224929591,17.37,0.035051957,43.85166201,74.18202439,94.57705688,0.876786632
COM,0.217596763,775.0800847,55.93,#N/A,900,0.022191159,0.805796199,0.723851157,2.38,0.085595581,427.5126276,63.55402439,78.13739014,2.311191381
CPV,0.853108789,2997.75268,47.19,1.56,228,0.009841224,3.551398449,5.636994383,0.01,0.104475939,133.8858561,73.35563415,88.46542358,1.239580878
CRI,1.618297931,11824.6381,48.53,1.44,2926,0.701045626,0.585764913,0.361702216,3.05,0.048785358,95.12875049,79.58646341,97.64724731,1.022696047
CUB,3.447160912,7602.261218,#N/A,1.4,1335,0.727438086,8.486184035,2.907142218,5.03,0.269935568,110.3247645,79.54641463,99.71071625,0.126866978
CUW,34.16163488,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,360.3581081,77.82439024,#N/A,1.318960909
CYM,9.234876908,64100.9077,#N/A,#N/A,#N/A,#N/A,11.74326666,12.07232894,1.54,0.003379977,253.1875,#N/A,98.86782074,1.328625998
CYP,5.199663256,23324.20174,34.31,1.61,498,0.002678155,1.672016061,5.63504184,2.03,0.069252258,126.6369048,80.30709756,99.05977631,0.784179797
CZE,9.383496546,18266.54969,26.13,1.67,677,0.155745988,#N/A,#N/A,21.11,0.298612483,136.7909986,79.47317073,#N/A,0.147567084
DEU,9.39062342,41936.05858,30.13,1.8,700,0.032824574,4.458668341,4.043249379,38.46,0.146587226,236.9380482,81.0902439,#N/A,1.193866758
DJI,0.678855968,1862.167274,44.13,1.41,220,6.796847046,0.71924231,12.35204508,1.05,0.002192588,40.65284728,62.28565854,#N/A,1.595864748
DMA,1.823370166,7144.454673,#N/A,#N/A,2083,#N/A,0.838645036,0.98172487,0.55,0.082442496,98.05733333,76.59756098,#N/A,0.519410867
DNK,6.779623867,53417.66428,29.08,2.01,703,0,14.45047691,16.3382366,17.95,0.430940157,135.6092471,81.1,#N/A,0.834637611
DOM,2.146779258,6722.223536,47.07,1.41,1410,0.078705435,1.742664739,1.230040795,11.2,0.076879876,220.4262265,73.67668293,92.46542358,1.137056669
DZA,3.500805977,3843.752322,#N/A,0.27,89,0.03922294,0.025005944,0.757500587,7.46,0.190968226,17.04889491,75.04253659,79.60839844,1.825463432
ECU,2.779245882,5968.984138,45.38,0.6,2274,0.336468818,1.50710449,5.190229742,15.43,0.063993764,65.97305524,76.10292683,94.51547241,1.479917408
EGY,2.371878985,3514.490097,#N/A,0.88,51,0.012213477,1.622988267,21.5237193,9.58,0.029080987,96.12605455,71.31695122,75.84262085,2.016789456
ERI,0.132758694,582.7755302,#N/A,3.33,384,7.323482856,1.205559922,0.767548828,3.06,0.154200626,44.30386139,64.10090244,73.84525299,1.891652284
ESP,5.082982524,26528.49179,35.89,1.63,636,0.729193518,0.821902232,4.376614966,10.18,0.264151614,92.84892145,83.3804878,98.11450958,-0.008048086
EST,15.11041148,17574.68736,33.15,1.46,626,0,1.808930466,2.906475881,19.85,0.4930223,31.05640481,77.13170732,99.82350922,0.08161442
ETH,0.112072453,706.7577541,33.17,0.99,848,3.263018169,0,0,18.4,0.155278843,102.403196,64.57804878,49.03152084,2.501821378
FIN,8.512553843,43090.24751,27.12,1.89,536,0.000387043,0.528235978,1.864564778,14.07,0.408458317,18.0825167,81.38536585,#N/A,0.283654477
FJI,1.942472278,5153.351544,42.78,1.34,2592,1.728636619,3.09994895,4.892924565,0.97,0.186271035,49.19321292,70.25626829,#N/A,0.738287655
FRA,5.048457171,36854.96828,33.1,1.79,867,0.005717646,1.647373804,2.892155592,25.73,0.276384127,122.1719547,82.67073171,#N/A,0.407491036
FRO,12.18647301,53612.71345,#N/A,#N/A,#N/A,#N/A,7.702458211,6.771790359,0,0.061422546,35.18409742,81.63414634,#N/A,0.309944988
FSM,1.414437523,3068.507771,42.46,#N/A,758,1.349813557,7.165460626,8.41057523,0,0.019227996,149.91,69.2342439,#N/A,0.481445263
GAB,2.617165519,7179.340661,42.18,1.02,1831,#N/A,0.322701521,4.937052655,12.28,0.173267445,7.683416773,64.89034146,83.23787689,2.537808568
GBR,7.133721709,39899.38839,32.57,1.92,1220,0.032407019,4.238566763,5.313018364,13.77,0.096474155,271.3067375,81.60487805,#N/A,0.777541827
GEO,1.988881356,3853.649904,40.09,1.24,1026,0.770433849,1.284809797,2.755012502,6.45,0.122618728,64.96028552,74.81741463,99.75962067,0.059168417
GHA,0.554930149,1513.461034,42.77,1.06,1187,0.974438237,0.562210066,2.622705637,7.79,0.174315773,123.9638217,61.49173171,76.57589722,2.236737965
