Country Code,EN.ATM.CO2E.PC,NY.GDP.PCAP.CD,SI.POV.GINI,EP.PMP.SGAS.CD,AG.LND.PRCP.MM,EN.CLC.MDAT.ZS,AG.LND.EL5M.ZS,EN.POP.EL5M.ZS,ER.PTD.TOTL.ZS,AG.LND.ARBL.HA.PC,EN.POP.DNST,SP.DYN.LE00.IN,SE.ADT.LITR.ZS,SP.POP.GROW
LBR,0.223290253,455.3707414,36.48,0.91,2391,1.872304199,0.301642932,6.375477155,0.78,0.113876099,47.9009863,61.16095122,47.60013962,2.50636265
LBY,8.23776955,5602.549434,#N/A,0.12,56,0,0.529163592,6.16815273,0.32,0.277235664,3.576646737,71.82631707,91.38887024,0.930674535
LCA,2.31718661,7744.445173,42.58,1.3,2301,#N/A,1.561104212,1.614210115,0.69,0.017004778,291.8278689,75.1845122,#N/A,0.455491876
LIE,1.393766629,179478.5848,#N/A,1.74,56,#N/A,#N/A,#N/A,44.29,0.062488216,235.4125,82.07317073,#N/A,0.700691567
LKA,0.778469274,3835.394817,39.16,1.27,1712,2.160030029,2.134193,2.979647308,2.64,0.062587261,338.1119439,74.95319512,92.61416626,1.124060307
LSO,1.084152395,998.1343716,54.18,1.03,788,3.402650963,#N/A,#N/A,0.54,0.126899946,72.58962451,49.96121951,79.3609314,1.332723919
LTU,4.273657237,14879.6803,35.15,1.57,656,0,1.219360815,2.868113534,16.3,0.801468575,45.84673583,75.1195122,99.82328033,-1.129000251
LUX,18.70078217,102831.3215,34.79,1.52,934,0,0,0,34.61,0.112543343,225.0857143,82.22926829,#N/A,2.319777521
LVA,3.518240904,14118.06391,35.48,1.48,641,0,1.905865558,17.29648166,17.78,0.606385252,31.52820843,74.12439024,99.89269257,-0.868629779
MAC,3.763533684,73186.96014,#N/A,#N/A,#N/A,#N/A,37.49866585,39.64556654,0,#N/A,20203.53135,80.76607317,96.2276001,1.850669705
MAF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,587.2977941,79.47073171,#N/A,0.612217977
MAR,1.731226102,2832.429777,40.72,1.38,346,0.075712586,0.205398451,1.380354236,20.14,0.236901351,79.04276496,74.28931707,71.7105484,1.351228522
MCO,#N/A,162009.8778,#N/A,2,#N/A,#N/A,25.25812405,25.2612817,99.72,#N/A,19249.5,#N/A,#N/A,0.499961982
MDA,1.398349504,1900.201479,26.83,1.21,450,0.343810822,1.020387316,0.591564388,3.82,0.51091034,123.5587139,71.62643902,99.2443924,-0.059329244
MDG,0.133992136,401.3188701,42.65,1.35,1513,0.86461509,0.748541989,1.663527942,1.98,0.148369204,42.78884668,65.48278049,64.65630341,2.688870712
MDV,2.668605598,8601.632488,38.37,1.63,1972,0.030647954,45.50767853,48.23643801,0.07,0.009725686,1391.64,76.979,99.32102203,2.015177277
MEX,3.987417613,8201.306253,48.21,1.03,758,0.149843277,2.16731636,1.580045429,6.02,0.185097358,65.60890095,76.92068293,94.54559326,1.301730941
MHL,1.944879056,3448.535786,#N/A,1.44,560,0.058414229,43.81798241,35.86786808,0.19,0.037808613,294.8111111,65.23902439,98.26508331,0.135772225
MKD,3.996048636,5237.14767,44.05,1.49,619,0.304578781,0,0,9.7,0.199278458,82.522046,75.49534146,97.84375763,0.091238733
MLI,0.062311648,780.5071109,33.04,1.47,282,0.652855128,0,0,8.38,0.377943654,14.74756964,58.45721951,33.06887054,2.971968633
MLT,5.240130476,25058.17061,#N/A,1.8,560,#N/A,2.734736378,2.260840934,0.47,0.020989133,1365.459375,81.94634146,94.06661224,1.167802724
MMR,0.244974168,1275.017608,#N/A,1.14,2091,0.092410935,3.608969789,10.972568,4.07,0.207783726,80.9781696,66.04207317,93.09004974,0.914735351
MNE,3.61855388,6701.00008,31.93,1.6,241,0.012174282,#N/A,#N/A,2.69,0.014039658,46.30342007,76.33770732,98.71994781,0.099924503
MNG,14.49618784,3686.451698,32.04,1.01,241,2.561342238,#N/A,#N/A,17.21,0.193987748,1.948684312,69.82126829,98.36763763,1.682874029
MNP,#N/A,16819.9066,#N/A,#N/A,#N/A,#N/A,3.097501401,1.85220231,26.34,0.018359404,119.6152174,#N/A,#N/A,0.37691575
MOZ,0.152038112,382.0693304,45.58,1.55,1032,3.662447956,1.340483109,5.245980947,10.9,0.207626073,36.6609985,55.3712439,58.83655167,2.881207724
MRT,0.670922439,1077.556136,32.42,1.53,92,3.08197365,1.084070035,19.12107836,1.38,0.110730526,4.172909673,63.20282927,52.12356186,2.798060125
MUS,2.960046971,9627.595785,35.84,1.65,2041,0,1.311377474,1.413202542,0.01,0.059479719,622.4004926,74.35317073,90.61604309,0.068723138
MWI,0.076759228,300.7948251,46.12,1.78,1181,8.820492787,0,0,16.81,0.222627926,191.8919707,63.79685366,65.96382904,2.904818605
MYS,7.961513999,9502.568396,46.26,0.68,2875,0.096926904,1.327918026,5.098261202,8.04,0.031560125,94.92395374,74.87517073,94.63699341,1.499323358
NAM,1.272714244,4140.461932,60.97,1.08,285,3.401433963,0.195345682,1.089542897,23.23,0.337411514,3.01195569,64.91543902,90.82050323,2.207998983
NCL,14.68194297,12579.59511,#N/A,#N/A,#N/A,#N/A,2.912721692,13.99765205,91.03,0.023283582,15.20787746,77.77317073,96.93782043,1.814931851
NER,0.106469412,363.2269739,33.99,1.09,151,7.525065739,#N/A,#N/A,17.61,0.830364432,16.32034973,61.96902439,19.1026001,3.826066467
NGA,0.556657254,2177.98517,42.97,0.56,1150,0.055033264,0.448578879,2.667120246,11.82,0.192677679,204.2114255,53.04887805,59.5680809,2.619033526
NIC,0.76846223,2151.382047,47.05,1.18,2280,0.833598367,3.007701258,0.854528234,21.96,0.250083264,51.10460362,75.09812195,82.47184753,1.110103051
NLD,10.11475925,45294.78,27.99,2.15,778,0.004737861,55.55545375,58.50616479,18.06,0.061962615,505.1471653,81.70731707,#N/A,0.4622438
NOR,11.74032423,70812.47742,25.9,2.27,1414,0.006795588,1.974102997,3.85093944,9.08,0.156991158,14.32717491,82.1,#N/A,0.850589917
NPL,0.232321564,729.5325011,32.84,1.31,1500,0.703796514,#N/A,#N/A,22.93,0.074627759,202.1818696,69.97334146,64.66364288,1.132886385
NRU,4.066537289,7821.298918,#N/A,1.6,285,#N/A,7.626450891,7.613074013,0,#N/A,652.45,#N/A,#N/A,4.498486084
NZL,7.64505234,39426.6235,#N/A,1.71,1732,0.010853985,0.947485319,4.232579488,29.82,0.130829102,17.82195891,81.45682927,#N/A,2.088702607
OMN,16.48503522,14982.35792,#N/A,0.31,125,#N/A,0.813482991,5.652352959,3.99,0.009593719,14.29648465,77.32419512,93.97164917,5.217720553
PAK,0.844017488,1468.192946,30.69,0.94,494,1.055342391,1.534015255,1.064888293,8.6,0.164056125,250.6271741,66.37697561,56.44031143,1.998562594
PAN,2.699764124,13680.23601,50.7,0.96,2928,0.196361452,1.681324326,3.009577053,5.18,0.144211583,54.26579231,77.76729268,95.0382309,1.621103031
PER,1.869868254,6045.650077,44.14,1.46,1738,1.952380813,0.321878305,0.915312205,19.37,0.134037793,24.82331172,74.78073171,94.3743515,1.257862325
PHL,0.997541638,2951.071929,43.04,1.05,2348,0.806384865,2.631697455,5.651287935,2.44,0.055842901,346.5144783,68.4067561,96.61802673,1.564497131
PLW,10.69249522,13626.00567,#N/A,#N/A,494,#N/A,1.973126212,3.453916326,0.24,0.047406846,46.74565217,69.12926829,99.52397156,1.004892661
PNG,0.799770837,2182.716565,43.88,1.36,3142,0.730797898,0.467637202,0.487487608,0.66,0.038680804,17.85317979,62.77668293,63.43349075,2.064027023
POL,7.947728476,12372.41706,32.08,1.42,600,0.032017102,1.169771807,1.747105451,29.31,0.287490166,123.9361704,78.20487805,99.78742218,-0.101129367
PRI,#N/A,28703.74835,#N/A,#N/A,2054,0.016497321,5.694355895,8.912764476,0.59,0.017256626,384.5892897,79.57231707,93.329422,-1.797538641
PRK,2.004773398,#N/A,#N/A,0.94,1054,2.496881102,1.80829975,5.131531888,1.3,0.093564502,210.6853251,70.33792683,99.99923706,0.492776137
PRT,4.423980771,19813.30825,36.04,1.89,854,0.001802335,1.437475134,3.625957936,1.89,0.109316722,112.7079417,81.52195122,95.42810822,-0.323604271
PRY,0.76904608,4080.204644,51.67,1.59,1130,0.714773455,#N/A,#N/A,6.5,0.732535439,16.92753083,73.02563415,95.53610992,1.289844973
PSE,0.584854657,2943.404534,34.46,1.77,402,#N/A,0.094975347,0.553855437,#N/A,0.014902151,756.0740864,73.07419512,96.66803741,2.884692935
PYF,3.003012489,14530.7772,#N/A,1.7,#N/A,#N/A,19.91798496,4.969231945,0.01,0.009074937,76.55956284,76.75241463,#N/A,0.902680095
QAT,37.78008534,59330.85999,#N/A,0.23,74,#N/A,12.12391453,12.8290713,1.24,0.005517139,221.3440138,78.76258537,97.75708771,3.495069918
ROU,3.539707601,9474.130604,27.45,1.59,637,0.084970988,2.383552177,1.951499931,22.09,0.440906588,85.64543202,74.96097561,98.75702667,-0.557581505
RUS,12.46681628,8748.364504,41.59,0.81,460,0.132700497,0.780140447,1.20662879,8.75,0.85608473,8.813796287,70.90853659,99.71956635,0.170244546
RWA,0.072245376,702.8356016,50.44,1.41,1212,1.295973166,#N/A,#N/A,9.43,0.10131898,483.0769355,64.52453659,71.24349976,2.445904867
SAU,18.08109392,20028.64821,#N/A,0.16,59,0.005660491,0.418070627,5.199340855,28.24,0.113787297,15.01411227,74.49334146,94.84236908,2.251422474
SDN,0.309100309,2415.038162,35.39,0.82,250,2.765415582,0.07027762,0.303605574,1.68,0.38670691,22.68897306,63.71073171,58.60131836,2.380439887
SEN,0.596523237,958.0737379,40.29,1.7,686,0.597670115,3.536303993,10.05757652,14.48,0.219990072,80.04785748,66.80441463,55.62485123,2.860609064
SGP,9.36384739,52960.71419,#N/A,1.58,2497,#N/A,8.1616391,10.33207059,3.39,0.000102382,7908.720733,82.59512195,96.77462769,1.297436099
SLB,0.351399169,2005.483643,46.1,#N/A,3028,0.090344057,1.617805597,2.856797328,0.16,0.034752148,21.41546981,68.1462439,76.59999847,2.011524549
SLE,0.172170095,496.0494634,33.99,1.04,2526,0.247016284,2.851627671,3.787063953,3.77,0.223755298,102.4686894,51.30817073,48.43190002,2.175479241
SLV,1.017246016,4223.584579,41.84,1.12,1784,0.360637004,0.788962098,0.496987593,2.05,0.119404145,306.2124517,73.00109756,87.64821625,0.509497673
SMR,#N/A,62596.94756,#N/A,#N/A,#N/A,#N/A,0,0,0,0.030621306,553.3833333,83.32321508,#N/A,0.734552824
SOM,0.047469801,434.2088097,#N/A,1.12,282,4.603689341,0.27021218,2.5002989,0.26,0.08140234,22.823343,55.68558537,#N/A,2.904371827
